Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	RH-IDgloss	LH-IDgloss	Free Translation	
00:00:13.816	13.816	00:00:14.438	14.438	00:00:00.622	0.622	WHY		
00:00:14.456	14.456	00:00:15.048	15.048	00:00:00.592	0.592	CHECK		That was to check the baby was alright, eating well etc. 
00:00:15.052	15.052	00:00:15.839	15.839	00:00:00.787	0.787	BABY		That was to check the baby was alright, eating well etc. 
00:00:15.858	15.858	00:00:16.601	16.601	00:00:00.743	0.743	ALRIGHT	ALRIGHT	That was to check the baby was alright, eating well etc. 
00:00:16.616	16.616	00:00:17.676	17.676	00:00:01.060	1.06	EAT		That was to check the baby was alright, eating well etc. 
00:00:17.692	17.692	00:00:17.994	17.994	00:00:00.302	0.302	KNOW	KNOW	That was to check the baby was alright, eating well etc. 
00:00:18.014	18.014	00:00:18.461	18.461	00:00:00.447	0.447	PT:LBUOY	LBUOY-ONE	That was to check the baby was alright, eating well etc. 
00:00:18.472	18.472	00:00:18.783	18.783	00:00:00.311	0.311	PT:LBUOY	LBUOY-FIVE	That was to check the baby was alright, eating well etc. 
00:00:18.793	18.793	00:00:19.036	19.036	00:00:00.243	0.243	PT:LBUOY	LBUOY-FIVE	That was to check the baby was alright, eating well etc. 
00:00:19.053	19.053	00:00:19.399	19.399	00:00:00.346	0.346	PT:PRO1SG	PT:PRO1SG	
00:00:19.411	19.411	00:00:20.001	20.001	00:00:00.590	0.59	BEHAVIOUR	BEHAVIOUR	I was patient.
00:00:20.021	20.021	00:00:20.564	20.564	00:00:00.543	0.543	AGAIN		
00:00:20.578	20.578	00:00:21.081	21.081	00:00:00.503	0.503	COME		They came again the next week.	
00:00:21.091	21.091	00:00:21.963	21.963	00:00:00.872	0.872	NEXT-WEEK02	NEXT-WEEK02	They came again the next week.	
00:00:21.981	21.981	00:00:22.239	22.239	00:00:00.258	0.258	PT:PRO1SG	PT:PRO1SG	
00:00:22.247	22.247	00:00:23.038	23.038	00:00:00.791	0.791	STRESS	STRESS	Very frustrating.
00:00:23.053	23.053	00:00:23.677	23.677	00:00:00.624	0.624	COME		
00:00:23.692	23.692	00:00:24.355	24.355	00:00:00.663	0.663	COME		They came again and again.
00:00:24.368	24.368	00:00:25.238	25.238	00:00:00.870	0.87	ADD-TO-SIGNBANK(AND02)	ADD-TO-SIGNBANK(AND02)	
00:00:25.257	25.257	00:00:26.287	26.287	00:00:01.030	1.03	?LATER	?LATER	After a while, they stopped.
00:00:26.303	26.303	00:00:27.238	27.238	00:00:00.935	0.935	FINISH03	FINISH03	After a while, they stopped.
00:00:14.461	14.461	00:00:15.043	15.043	00:00:00.582	0.582	CHECK	CHECK	That was to check the baby was alright, eating well etc. 
00:00:15.062	15.062	00:00:15.839	15.839	00:00:00.777	0.777	BABY	BABY	That was to check the baby was alright, eating well etc. 
00:00:19.411	19.411	00:00:20.009	20.009	00:00:00.598	0.598		BEHAVIOUR	I was patient.
00:00:13.868	13.868	00:00:19.251	19.251	00:00:05.383	5.383			That was to check the baby was alright, eating well etc. 
00:00:19.316	19.316	00:00:20.189	20.189	00:00:00.873	0.873			I was patient.
00:00:20.252	20.252	00:00:21.999	21.999	00:00:01.747	1.747			They came again the next week.	
00:00:22.037	22.037	00:00:23.180	23.18	00:00:01.143	1.143			Very frustrating.
00:00:23.252	23.252	00:00:24.771	24.771	00:00:01.519	1.519			They came again and again.
00:00:24.816	24.816	00:00:27.245	27.245	00:00:02.429	2.429			After a while, they stopped.
